timestamp,file,ticker,form_type,status
2026-05-10T00:40:22.570617,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/10-K/kbank-2024.md,KBANK,10-K,injected
2026-05-10T00:40:22.570622,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/56-1/56-1_2022_annual.md,KBANK,annual-report,injected
2026-05-10T00:40:22.570626,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/56-6/KBANK_2020_Q1.md,KBANK,unknown,injected
2026-05-10T00:40:22.570635,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/56-6/kbank-56-6-2020-q1.md,KBANK,unknown,injected
2026-05-10T00:40:22.570643,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/56-6/kbank-56-6-2020-q2.md,KBANK,unknown,injected
2026-05-10T00:40:22.570652,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/56-6/kbank-56-6-2020-q3.md,KBANK,unknown,injected
2026-05-10T00:40:22.570658,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/KBANK_Brief_2Q24.md,KBANK,quarterly-report,injected
2026-05-10T00:40:22.570663,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/KBANK_Brief_4Q24.md,KBANK,quarterly-report,injected
2026-05-10T00:40:22.570667,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/KBANK_OneReport_2022.md,KBANK,annual-report,injected
2026-05-10T00:40:22.570672,/home/poomk/.openclaw/workspace/investments/stocks/KBANK/KBANK_OneReport_2023.md,KBANK,annual-report,injected
